#RA DEC r-mag spread_model spread_model_err
77.14267731 -56.10017014 20.9109 0.0223055 0.000610154
77.32097626 -56.09976959 22.6455 0.16341 0.0123321
77.05255127 -56.09976959 22.4074 0.119677 0.00670439
76.98651123 -56.09980774 23.4953 0.316593 0.0016342
76.7959137 -56.09898758 22.5858 0.225575 0.00296987
76.59547424 -56.0984993 22.4841 0.0876722 0.0132363
77.00891113 -56.09857178 18.9651 0.00135365 -0.000182867
76.45176697 -56.09720612 22.8238 0.241152 0.0168737
76.76316071 -56.09771729 24.0417 0.115969 -0.00136376
76.8637619 -56.09782791 23.0379 0.110574 0.0101246
76.49111938 -56.09786606 17.3026 0.000417103 -0.000484769
76.96968079 -56.09720993 24.9507 0.243951 -0.00154757
77.13398743 -56.09664536 21.3265 0.205476 0.00890066
76.64598846 -56.09625244 22.1949 0.0857151 0.00509083
76.61608887 -56.09552383 22.9222 0.187361 0.0179192
76.46176147 -56.09493637 21.9464 0.151043 0.0112872
77.38670349 -56.09457397 22.3578 0.0585224 0.0106358
77.22136688 -56.09504318 23.1957 52.584 1
76.66516113 -56.09478378 20.81 0.0130486 0.00123681
76.99777985 -56.09872055 19.1997 0.0162408 0.0340445
77.01551056 -56.0944519 23.6501 0.30265 -0.00168593
76.72329712 -56.09418106 22.5686 0.39811 0.00894377
77.33231354 -56.0933075 23.1426 0.266844 0.00521089
77.37101746 -56.09318161 22.6397 0.0513996 0.0142572
76.73391724 -56.09318924 23.476 0.158544 0.000825178
77.35807037 -56.09272003 22.5402 0.0900874 0.000367971
77.19998932 -56.09270477 21.5346 0.0295559 0.00930616
76.65818787 -56.09267044 23.4843 0.144482 -0.00146499
76.6570282 -56.09180069 23.837 0.5381 0.00358625
76.82468414 -56.09143829 21.4271 2.60466 0.0124837
76.91595459 -56.08420563 23.5853 0.419537 0.00216957
76.72245026 -56.0840683 20.4162 0.0150763 0.0161308
76.81821442 -56.09041977 21.2779 0.795403 0.0190046
76.90843964 -56.09062958 23.4205 0.163037 0.0130378
77.1648941 -56.0898056 23.094 0.545381 -0.0112191
76.83763123 -56.08942795 23.5487 0.383581 0.00732131
77.16540527 -56.08893967 21.2366 20.1922 -0.0799207
76.76242828 -56.08810806 22.53 0.0756113 0.00411837
77.16850281 -56.08770752 21.6284 2.13176 0.013248
77.42958069 -56.08647156 22.3833 0.0666835 -0.0010994
77.17199707 -56.08661652 23.0665 0.691784 0.00510998
77.40731049 -56.08539963 22.6803 0.352906 0.00345044
77.12241364 -56.08561325 23.2822 0.507605 0.00275846
76.73461151 -56.08517456 22.5403 0.16437 0.00816807
77.36161041 -56.08469009 20.5185 0.0176338 0.0313738
76.45557404 -56.08292389 23.4069 0.424196 0.00537655
76.61605835 -56.08353806 23.0307 0.144489 0.00751354
77.13340759 -56.08349991 23.142 0.427193 0.00958183
77.13456726 -56.08342743 22.5063 0.0769928 0.00400245
76.79506683 -56.08302689 22.9196 0.456171 0.00874954
76.99024963 -56.08290482 22.8112 0.692017 0.00796344
76.7408371 -56.08265686 22.0744 0.077673 0.00242573
77.36351776 -56.08179474 22.3932 0.1155 0.01368
76.53103638 -56.08240891 21.5957 0.0298206 0.0110186
76.91841888 -56.07785034 22.6195 1.02308 0.00206216
77.09391022 -56.07762909 22.7831 0 1
77.09921265 -56.0775528 28.2248 421.768 -0.0167126
77.11499786 -56.07746124 20.7507 2.29516 1
76.92344666 -56.11237335 20.3263 0.18156 0.00300463
77.2134552 -56.11181259 17.584 0.000426533 0.000200338
76.93989563 -56.11151123 22.3432 0.809787 0.00659811
76.94882965 -56.11071777 22.1184 0.0777882 0.00752403
77.3912735 -56.1095047 21.4105 0.0803137 0.0158271
77.11953735 -56.10966492 21.6166 0.038679 0.0172834
76.79081726 -56.10923767 22.7623 0.828281 0.00609434
77.26808929 -56.10836411 23.1669 1.92432 0.00579816
77.4031601 -56.10722351 22.3516 0.0447826 0.0139586
76.70597076 -56.11090469 18.5264 0.00461376 0.0269897
77.00244904 -56.10695267 22.2536 0.0586505 0.00369728
77.38669586 -56.1057663 19.4149 0.00188376 0.0017741
77.33864594 -56.10506058 23.0124 0.222924 0.00397691
76.93380737 -56.10522461 21.823 0.0844235 0.011556
77.33655548 -56.10390854 20.7177 0.00690389 -0.000138432
77.36995697 -56.10300827 22.9322 0.0714597 0.0111755
76.80962372 -56.10225677 22.7194 0.106507 0.00156418
76.76909637 -56.10176849 21.3507 0.434872 -0.0263192
76.63870239 -56.10092926 21.8954 0.272101 0.0136532
77.28731537 -56.10029602 23.5833 0.116005 0.00484025
76.55052948 -56.0995903 23.7176 0.517688 -0.00160652
76.50897217 -56.09901428 21.2464 0.0232371 0.0182423
77.39762115 -56.09821701 22.7244 0.0587749 0.0129462
76.74968719 -56.09812927 22.6781 0.0903309 0.00933931
77.22450256 -56.09806824 17.9049 0.000458422 7.21286e-05
76.47145844 -56.09620285 22.4158 0.0651778 0.0168199
76.84848785 -56.09658813 23.1919 0.111668 0.0169161
77.16712189 -56.09572601 21.1023 0.0298428 0.00456257
77.22059631 -56.09504318 22.7584 0 1
77.29283142 -56.09450531 21.0737 0.32294 0.00905835
76.5089035 -56.09359741 23.4051 1.6421 0.00828873
76.85509491 -56.09384918 22.6549 0.0645012 -0.00056036
77.38188934 -56.09256744 22.235 0.0793496 0.0173835
77.0102005 -56.09286499 23.0132 0.173754 0.0102752
77.30692291 -56.0916481 23.6667 0.115005 -0.0029572
76.66933441 -56.09111023 23.5146 0.508651 -0.00826317
76.70532227 -56.09082413 20.1735 0.00621148 7.0262e-05
76.73989105 -56.09024048 22.154 0.0635082 0.012454
76.72888947 -56.08971405 22.6641 0.0687547 -0.000868942
76.75698853 -56.08925629 23.2519 0.239957 0.00945156
76.75297546 -56.08896255 21.4355 0.0420091 -0.000728902
76.60113525 -56.08790207 22.3233 0.118316 0.00665592
76.86547089 -56.08786392 22.8479 0.511396 0.0155244
76.83867645 -56.08675766 21.4833 0.0211011 0.00031731
77.31980896 -56.08561707 23.6329 0.205434 0.0177368
76.50084686 -56.08490372 24.1845 0.204024 -0.0069911
76.72167206 -56.08500671 22.5652 0.154555 0.0103687
77.13379669 -56.08472824 23.2493 0.128366 0.00578755
76.85887909 -56.08410263 20.9066 0.12036 0.00832413
76.75377655 -56.08347321 22.6007 0.0627265 0.0159387
76.6588974 -56.08415222 19.1903 0.00132157 -0.000151695
76.92566681 -56.08312607 22.5248 0.101847 0.000193909
77.06597137 -56.08256912 21.8733 0.0928735 0.0250139
76.65788269 -56.0821991 22.4904 0.138445 0.0165775
76.93174744 -56.08247757 21.5773 0.184452 0.00819018
77.25894165 -56.08173752 20.4995 0.011916 -1.5207e-05
77.25156403 -56.08168411 22.915 0.125703 0.00927077
76.67370605 -56.07725143 22.3635 0.234603 0.00193895
77.39646149 -56.0766983 23.5147 0.0862374 -0.00121406
76.9927063 -56.07748795 20.8239 0.0273165 0.0041436
77.32619476 -56.07685852 22.2336 0.0489103 0.00713568
77.12069702 -56.07738113 24.322 7.67247 0.0452787
77.18907166 -56.08564758 16.9902 0.00118089 0.0160698
76.70087433 -56.07832336 22.9491 0.136528 0.00466093
76.46777344 -56.11142731 20.885 0.193125 0.00392919
77.43079376 -56.11109161 23.4065 0.586946 0.00313013
76.61232758 -56.11089706 23.7252 0.287181 0.00687675
77.3917923 -56.10993958 21.7023 0.0576854 0.00326546
77.03470612 -56.11032867 20.7966 0.0154191 0.0151798
77.00309753 -56.10976791 22.557 0.149079 0.0113856
76.80558014 -56.10925674 21.0713 1.82469 0.0100425
76.68267822 -56.10774994 22.5917 0.473386 0.0102051
77.10774231 -56.10744095 23.4945 0.266169 0.00112811
76.6917572 -56.10661316 22.8877 0.244353 0.0125435
76.77269745 -56.10603714 20.1476 0.0576355 0.0412456
76.83226776 -56.10813141 18.877 0.00376798 0.0116053
77.31726837 -56.10469055 20.8374 0.635479 0.012847
77.15551758 -56.10426712 22.9191 0.0622014 -0.00174226
77.1895752 -56.10348511 22.233 0.174411 0.0162922
76.69501495 -56.10300827 19.6889 0.00294271 8.31068e-05
77.09749603 -56.10225296 23.6202 0.372746 0.00386032
77.0502243 -56.1017952 25.0123 0.271295 -0.0136499
76.44913483 -56.10023117 23.8258 0.390393 0.011725
76.57241058 -56.1002388 24.1446 0.118402 0.000227243
77.17129517 -56.10005188 22.1999 0.264531 0.00874728
77.08310699 -56.09959793 22.6539 0.0565742 0.000938908
76.78800964 -56.09948349 20.2547 0.023296 0.0187778
76.66345978 -56.09788513 22.8523 0.455976 -0.00569375
76.61193085 -56.09739304 23.264 0.120814 0.0130819
76.94429779 -56.09713745 23.617 0.300089 0.00544896
76.89600372 -56.09661865 21.3446 0.0232519 0.0104023
77.20143127 -56.0955162 21.8184 0.128236 0.0126422
77.07403564 -56.0952034 23.1489 0.218027 -0.00941806
76.74556732 -56.09479904 22.1031 0.0405614 0.0150683
76.49466705 -56.09354782 22.3106 0.0313095 -0.00155699
76.56302643 -56.09327698 22.1991 0.0502977 0.0105379
77.29929352 -56.09289932 22.2571 0.0452967 0.0265561
77.36557007 -56.09218979 23.2104 0.0620324 0.000156393
76.7840271 -56.09204102 21.9811 0.34377 0.00950046
76.66027069 -56.09108734 25.7121 0.538335 -0.0645192
77.37927246 -56.0901947 23.1523 0.173519 0.00809137
77.06896973 -56.09080124 23.7689 0.112085 -0.00105599
76.63827515 -56.08951569 21.958 0.0310534 0.0146606
77.29511261 -56.08908081 22.1459 0.0424076 0.00667955
76.8004837 -56.08895493 19.8909 0.00434245 0.0115316
76.61654663 -56.08743668 22.8852 0.0608577 -0.00169907
76.68476868 -56.08709717 23.4208 0.654926 -0.00150573
76.75777435 -56.086586 21.7134 0.431257 -0.0239971
76.8555069 -56.08612442 22.2203 0.168032 0.00438522
77.22608948 -56.08542633 22.6092 0.0932251 0.00548233
76.79053497 -56.08504486 23.9204 0.287006 0.0015397
77.23553467 -56.08453751 24.3219 0.427933 -0.00353848
77.34955597 -56.08321381 20.2435 0.00723214 -0.000591134
77.3555069 -56.08312225 24.0186 0.154339 -0.00225563
76.60931396 -56.08561325 15.6988 0.000975403 0.00489948
76.99736786 -56.08355331 21.4161 0.000160601 0.00739196
77.04512787 -56.08302307 22.9183 0.112225 0.00957425
76.73307037 -56.08293152 22.7973 0.191616 0.00925877
77.34035492 -56.08208847 22.1754 0.118871 0.0122937
76.91699219 -56.08240128 21.8247 0.0439922 0.0142599
77.25673676 -56.08160019 22.1937 0.892897 0.0101145
76.91337585 -56.07849884 22.2675 1.54175 -0.00261406
77.3454895 -56.07781219 21.005 0.455947 0.0146209
77.30963898 -56.07791901 22.9741 0.0742783 0.0146662
77.29902649 -56.078022 21.4902 0.0380561 0.00940495
77.28298187 -56.07806396 22.1484 0.0238088 -0.0017105
76.47115326 -56.07872391 16.957 0.000387186 -8.45738e-06
76.74487305 -56.07825851 22.1832 0.319699 0.00504532
76.86122131 -56.07839966 20.8855 0.62816 0.0134107
76.80932617 -56.07835007 22.1783 0.498018 0.0112238
76.9985733 -56.11229706 21.866 1.71515 -0.0490874
77.27822113 -56.11166 21.4092 0.0120884 0.000256107
76.85388947 -56.11118317 24.5425 0.169672 -0.0110354
76.95116425 -56.11064529 22.679 0.103567 0.0182984
76.71232605 -56.10997772 21.6281 0.0279772 0.0131664
77.4141922 -56.10891724 22.1841 0.0178252 -0.000408053
77.31134796 -56.10868073 23.5931 0.336373 -0.000538048
77.40874481 -56.10850525 17.9216 0.000666144 -0.000192827
76.64810181 -56.10759735 23.4807 0.0702583 -0.0119435
76.77541351 -56.10733795 22.8868 0.281397 0.00608039
76.44038391 -56.10582733 23.4874 0.781463 0.00145189
